"Station","Station_old_name","period","forcov","foredg","lat","long","Setup_date","Retrieval_date","cattle"
"G-06_sat6","G-06","sat6",99.99,4076.52,-16.340996,-62.030944,2018-01-01,2018-09-30,0
"G-06_sat8","G-06","sat8",100,4036.52,-16.340996,-62.030944,2018-10-01,2018-12-31,0
"G-07_sat10","G-07","sat10",79.44,6587.79,-16.34478,-62.00925,2019-01-01,2019-06-30,0
"G-07_sat11","G-07","sat11",79.27,6767.79,-16.34478,-62.00925,2019-07-01,2020-03-31,0
"G-07_sat14","G-07","sat14",75.23,7203.14,-16.34478,-62.00925,2020-04-01,2020-09-30,0
"G-07_sat16","G-07","sat16",76.51,6607.79,-16.34478,-62.00925,2020-10-01,2021-03-31,0
"G-07_sat18","G-07","sat18",78.11,6468.39,-16.34478,-62.00925,2021-04-01,2021-06-30,0
"G-07_sat19","G-07","sat19",39.02,20718.82,-16.34478,-62.00925,2021-07-01,2021-12-31,0
"G-07_sat2","G-07","sat2",84.07,7531.02,-16.34478,-62.00925,2017-01-01,2017-09-30,2
"G-07_sat4","G-07","sat4",77.09,6487.79,-16.34478,-62.00925,2017-10-01,2017-12-31,2
"G-07_sat6","G-07","sat6",87.35,8066.03,-16.34478,-62.00925,2018-01-01,2018-09-30,0
"G-07_sat8","G-07","sat8",64.23,10461.71,-16.34478,-62.00925,2018-10-01,2018-12-31,0
"G-11_sat10","G-11","sat10",98.59,6197.01,-16.31421,-62.03223,2019-01-01,2019-06-30,13
"G-11_sat11","G-11","sat11",96.63,5997.23,-16.31421,-62.03223,2019-07-01,2020-03-31,6
"G-11_sat14","G-11","sat14",95.11,7503.63,-16.31421,-62.03223,2020-04-01,2020-09-30,19
"G-11_sat16","G-11","sat16",96.25,6321.6,-16.31421,-62.03223,2020-10-01,2021-03-31,0
"G-11_sat18","G-11","sat18",78.15,16097.24,-16.31421,-62.03223,2021-04-01,2021-06-30,0
"G-11_sat19","G-11","sat19",59.14,14821.37,-16.31421,-62.03223,2021-07-01,2021-12-31,1
"G-11_sat2","G-11","sat2",97.46,8972.56,-16.31421,-62.03223,2017-01-01,2017-09-30,0
"G-11_sat4","G-11","sat4",94.68,6278.99,-16.31421,-62.03223,2017-10-01,2017-12-31,0
"G-11_sat6","G-11","sat6",95.93,6960.11,-16.31421,-62.03223,2018-01-01,2018-09-30,0
"G-11_sat8","G-11","sat8",66.58,10736.5,-16.31421,-62.03223,2018-10-01,2018-12-31,4
"G-12_sat10","G-12","sat10",30.08,10473.79,-16.31163,-62.00823,2019-01-01,2019-06-30,0
"G-12_sat11","G-12","sat11",36.7,11058.82,-16.31163,-62.00823,2019-07-01,2020-03-31,3
"G-12_sat14","G-12","sat14",24.69,8691.58,-16.31163,-62.00823,2020-04-01,2020-09-30,0
"G-12_sat16","G-12","sat16",36.63,17388.82,-16.31163,-62.00823,2020-10-01,2021-03-31,0
"G-12_sat18","G-12","sat18",23.16,11270.25,-16.31163,-62.00823,2021-04-01,2021-06-30,0
"G-12_sat19","G-12","sat19",20.98,7312.13,-16.31163,-62.00823,2021-07-01,2021-12-31,0
"G-12_sat2","G-12","sat2",39.74,11322.27,-16.31163,-62.00823,2017-01-01,2017-09-30,0
"G-12_sat4","G-12","sat4",27.6,8199.39,-16.31163,-62.00823,2017-10-01,2017-12-31,0
"G-12_sat6","G-12","sat6",24.75,9972.97,-16.31163,-62.00823,2018-01-01,2018-09-30,0
"G-12_sat8","G-12","sat8",25.07,8640.42,-16.31163,-62.00823,2018-10-01,2018-12-31,0
"G-13_sat10","G-13","sat10",99.72,4295.29,-16.311619,-61.987967,2019-01-01,2019-06-30,0
"G-13_sat11","G-13","sat11",99.82,4246.54,-16.311619,-61.987967,2019-07-01,2020-03-31,0
"G-13_sat14","G-13","sat14",98.32,6841.07,-16.311619,-61.987967,2020-04-01,2020-09-30,0
"G-13_sat16","G-13","sat16",99.55,4880.23,-16.311619,-61.987967,2020-10-01,2021-03-31,6
"G-13_sat18","G-13","sat18",61.35,18294.04,-16.311619,-61.987967,2021-04-01,2021-06-30,0
"G-13_sat19","G-13","sat19",42.56,19632.24,-16.311619,-61.987967,2021-07-01,2021-12-31,0
"G-13_sat2","G-13","sat2",98.73,5902.71,-16.311619,-61.987967,2017-01-01,2017-09-30,0
"G-13_sat4","G-13","sat4",99.47,4439.27,-16.311619,-61.987967,2017-10-01,2017-12-31,0
"G-13_sat6","G-13","sat6",99.26,4665.31,-16.311619,-61.987967,2018-01-01,2018-09-30,0
"G-13_sat8","G-13","sat8",98.25,6105.17,-16.311619,-61.987967,2018-10-01,2018-12-31,0
"G-14_sat10","G-14","sat10",42.98,19834.22,-16.31044,-61.96082,2019-01-01,2019-06-30,0
"G-14_sat11","G-14","sat11",47.52,16491.14,-16.31044,-61.96082,2019-07-01,2020-03-31,0
"G-14_sat14","G-14","sat14",53.18,26159.29,-16.31044,-61.96082,2020-04-01,2020-09-30,0
"G-14_sat16","G-14","sat16",37.37,16182.1,-16.31044,-61.96082,2020-10-01,2021-03-31,0
"G-14_sat18","G-14","sat18",21.16,15035.76,-16.31044,-61.96082,2021-04-01,2021-06-30,0
"G-14_sat19","G-14","sat19",1.63,2640.4,-16.31044,-61.96082,2021-07-01,2021-12-31,0
"G-14_sat2","G-14","sat2",23.56,8589.48,-16.31044,-61.96082,2017-01-01,2017-09-30,0
"G-14_sat4","G-14","sat4",69.48,21632.39,-16.31044,-61.96082,2017-10-01,2017-12-31,0
"G-14_sat6","G-14","sat6",77.79,13875.05,-16.31044,-61.96082,2018-01-01,2018-09-30,0
"G-14_sat8","G-14","sat8",33.31,12707.85,-16.31044,-61.96082,2018-10-01,2018-12-31,0
