"","Mean","SD","Naive SE","Time-series SE"
"beta.ranef.cont.forcov.mean",0.403,0.191,0.002,0.01
"beta.ranef.cont.forcov.sigma",0.403,0.135,0.002,0.006
"beta.ranef.cont.foredg[1]",0.062,0.234,0.003,0.005
"beta.ranef.cont.foredg[2]",0.009,0.268,0.003,0.007
"beta.ranef.cont.foredg[3]",0.404,0.295,0.003,0.009
"beta.ranef.cont.foredg[4]",0.297,0.284,0.003,0.008
"beta.ranef.cont.foredg[5]",0.038,0.263,0.003,0.007
"beta.ranef.cont.foredg[6]",0.067,0.237,0.003,0.006
"beta.ranef.cont.foredg[7]",0.259,0.249,0.003,0.007
"beta.ranef.cont.foredg[8]",0.15,0.254,0.003,0.006
"beta.ranef.cont.foredg[9]",0.257,0.233,0.003,0.006
"beta.ranef.cont.foredg[10]",0.14,0.261,0.003,0.007
"beta.ranef.cont.foredg[11]",0.122,0.262,0.003,0.008
"beta.ranef.cont.foredg[12]",0.309,0.296,0.003,0.007
"beta.ranef.cont.foredg[13]",0.328,0.244,0.003,0.006
"beta.ranef.cont.foredg[14]",0.184,0.273,0.003,0.007
"beta.ranef.cont.foredg[15]",0.161,0.285,0.003,0.007
"beta.ranef.cont.foredg[16]",0.035,0.265,0.003,0.006
"beta.ranef.cont.foredg[17]",0.089,0.296,0.003,0.007
"beta.ranef.cont.foredg[18]",0.156,0.27,0.003,0.007
"beta.ranef.cont.foredg[19]",0.262,0.272,0.003,0.007
"beta.ranef.cont.foredg[20]",0.062,0.277,0.003,0.007
"beta.ranef.cont.foredg[21]",0.034,0.288,0.003,0.007
"beta.ranef.cont.foredg[22]",0.296,0.289,0.003,0.007
"beta.ranef.cont.foredg[23]",0.129,0.303,0.003,0.01
"beta.ranef.cont.foredg[24]",0.236,0.277,0.003,0.008
"beta.ranef.cont.foredg.mean",0.169,0.138,0.002,0.007
"beta.ranef.cont.foredg.sigma",0.284,0.085,0.001,0.003
"beta0[1]",0.079,0.332,0.004,0.013
"beta0[2]",-0.717,0.428,0.005,0.015
"beta0[3]",-1.618,0.634,0.007,0.024
"beta0[4]",-0.528,0.562,0.006,0.024
"beta0[5]",-0.674,0.427,0.005,0.017
"beta0[6]",0.342,0.336,0.004,0.014
"beta0[7]",-0.124,0.403,0.005,0.014
"beta0[8]",-1.191,0.377,0.004,0.013
"beta0[9]",0.639,0.359,0.004,0.014
"beta0[10]",-0.425,0.44,0.005,0.016
"beta0[11]",-0.676,0.41,0.005,0.019
"beta0[12]",-1.467,0.622,0.007,0.024
"beta0[13]",-0.284,0.356,0.004,0.013
"beta0[14]",-1.271,0.505,0.006,0.017
"beta0[15]",-1.244,0.632,0.007,0.026
"beta0[16]",-1.032,0.411,0.005,0.015
"beta0[17]",-1.856,0.59,0.007,0.02
"beta0[18]",-1.133,0.505,0.006,0.019
"beta0[19]",-1.28,0.459,0.005,0.015
"beta0[20]",-1.75,0.449,0.005,0.016
"beta0[21]",-1.208,0.548,0.006,0.021
"beta0[22]",-1.73,0.593,0.007,0.023
"beta0[23]",-1.088,0.736,0.008,0.037
"beta0[24]",-1.387,0.549,0.006,0.021
"beta0.mean",-0.901,0.298,0.003,0.017
"beta0.sigma",0.83,0.176,0.002,0.005
"new.R2[1]",8.486,2.726,0.031,0.032
"new.R2[2]",9.342,3.03,0.035,0.051
"new.R2[3]",3.829,1.844,0.021,0.048
"new.R2[4]",8.427,2.186,0.025,0.058
"new.R2[5]",9.739,3.218,0.037,0.05
"new.R2[6]",10.633,3.1,0.036,0.036
"new.R2[7]",12.188,3.512,0.041,0.055
"new.R2[8]",4.545,2.253,0.026,0.026
"new.R2[9]",14.79,4.015,0.046,0.049
"new.R2[10]",11.217,3.26,0.038,0.058
"new.R2[11]",8.773,3.162,0.036,0.038
"new.R2[12]",4.788,2.056,0.024,0.055
"new.R2[13]",10.196,3.38,0.039,0.041
"new.R2[14]",6.128,2.321,0.027,0.046
"new.R2[15]",4.9,1.837,0.021,0.049
"new.R2[16]",6.72,2.641,0.03,0.038
"new.R2[17]",3.621,1.91,0.022,0.043
"new.R2[18]",7.038,2.534,0.029,0.052
"new.R2[19]",5.702,2.305,0.027,0.039
"new.R2[20]",3.512,1.957,0.023,0.023
"new.R2[21]",7.058,2.506,0.029,0.058
"new.R2[22]",3.693,1.788,0.021,0.042
"new.R2[23]",5.403,2.059,0.024,0.066
"new.R2[24]",5.497,2.254,0.026,0.053
"new.R3",176.226,13.664,0.158,0.31
